PWM,V_out,V_d,I_d_mA
219,0.4505,0.4513,0
220,0.4529,0.4545,0
221,0.4553,0.4553,0
222,0.4585,0.4569,0.0074
223,0.4593,0.4593,0
224,0.4618,0.4618,0
225,0.4634,0.4634,0
226,0.4642,0.4658,0
227,0.4674,0.4674,0
228,0.469,0.4682,0.0037
229,0.4706,0.4714,0
230,0.473,0.4747,0
231,0.4755,0.4755,0
232,0.4787,0.4763,0.0111
233,0.4795,0.4795,0
234,0.4827,0.4819,0.0037
235,0.4843,0.4803,0.0184
236,0.4843,0.4859,0
237,0.4892,0.4884,0.0037
238,0.4908,0.4908,0
239,0.4924,0.4924,0
240,0.4948,0.4948,0
241,0.4956,0.4964,0
242,0.4988,0.498,0.0037
243,0.5004,0.4996,0.0037
244,0.5012,0.5021,0
245,0.5037,0.5061,0
246,0.5053,0.5061,0
247,0.5085,0.5101,0
248,0.5101,0.5117,0
249,0.5133,0.5133,0
250,0.5141,0.5149,0
251,0.5174,0.5182,0
252,0.519,0.519,0
253,0.5214,0.5214,0
254,0.5222,0.5238,0
255,0.523,0.5246,0
256,0.5278,0.527,0.0037
257,0.5295,0.5303,0
258,0.5319,0.5319,0
259,0.5335,0.5335,0
260,0.5351,0.5351,0
261,0.5375,0.5375,0
262,0.5407,0.5399,0.0037
263,0.5423,0.5423,0
264,0.5423,0.544,0
265,0.5448,0.5464,0
266,0.548,0.548,0
267,0.5512,0.5512,0
268,0.552,0.5528,0
269,0.5552,0.5528,0.0111
270,0.5568,0.5568,0
271,0.5585,0.5585,0
272,0.5593,0.5593,0
273,0.5641,0.5617,0.0111
274,0.5641,0.5641,0
275,0.5665,0.5665,0
276,0.5673,0.5681,0
277,0.5697,0.5705,0
278,0.573,0.5722,0.0037
279,0.5754,0.5746,0.0037
280,0.577,0.5762,0.0037
281,0.5778,0.5794,0
282,0.5826,0.5802,0.0111
283,0.5818,0.5826,0
284,0.5851,0.5851,0
285,0.5851,0.5867,0
286,0.5899,0.5899,0
287,0.5915,0.5907,0.0037
288,0.5923,0.5923,0
289,0.5955,0.5955,0
290,0.5971,0.5979,0
291,0.6004,0.5996,0.0037
292,0.6012,0.602,0
293,0.602,0.6036,0
294,0.6052,0.606,0
295,0.6076,0.6076,0
296,0.6108,0.6108,0
297,0.6116,0.6108,0.0037
298,0.6141,0.6141,0
299,0.6173,0.6165,0.0037
300,0.6181,0.6181,0
301,0.6189,0.6205,0
302,0.6213,0.6221,0
303,0.6245,0.6245,0
304,0.6262,0.6262,0
305,0.6278,0.6286,0
306,0.6302,0.6302,0
307,0.6326,0.6326,0
308,0.6342,0.635,0
309,0.6358,0.6358,0
310,0.6382,0.639,0
311,0.6407,0.6415,0
312,0.6415,0.6439,0
313,0.6447,0.6447,0
314,0.6479,0.6471,0.0037
315,0.6479,0.6479,0
316,0.6519,0.6511,0.0037
317,0.6527,0.6527,0
318,0.6544,0.6552,0
319,0.6568,0.6576,0
320,0.6592,0.6584,0.0037
321,0.6608,0.6608,0
322,0.6648,0.664,0.0037
323,0.6616,0.6648,0
